X1	X2	Y	Dataset
604.45723496	-4.70333247	1	Train
492.68833877	-0.493488114	1	Train
438.04088661	-2.307668942	0	Train
184.34904233	2.680302801	0	Train
557.12745085	-3.632923074	1	Train
35.917130730000004	-5.586183106	1	Train
516.3318296900001	-2.833073767	1	Train
468.14584156	2.075219368	1	Train
4.001544930000016	-3.325044584	0	Train
34.15177153999998	-2.39793651	1	Train
138.9716075	-3.516589402	1	Train
-227.4935110300001	6.586134303	0	Train
105.41348787	-3.192427856	1	Train
-9.788238350000007	-6.378897745	1	Train
-75.27834058	-4.445818004	1	Train
452.94040999	-1.751872694	0	Train
379.98671365	-4.330865234	1	Train
472.89936789	0.850044644	1	Train
38.51740155000001	-0.81783674	1	Train
-239.19851	2.511376817	1	Train
535.90145858	-7.414767964	1	Train
295.31797264	-2.746842709	0	Train
389.37824783	4.30667597	0	Train
438.7934193699999	-4.420728726	0	Train
-229.34316534	3.900129248	1	Train
112.04019824	-1.831356576	0	Train
202.98735489	7.463282266	0	Train
-238.13922268	3.972367944	1	Train
-207.24844248	2.398364273	0	Train
150.17797232	3.298873823	0	Train
154.83163938	3.265428018	0	Train
316.94588797	-8.495438384	1	Train
-65.0347874	2.375828198	0	Train
325.05517202	5.597810226	0	Train
15.739024950000015	-5.219420172	1	Train
344.43163927	7.319462938	0	Train
122.42822162	-4.829547781	1	Train
294.38638030000004	3.652650647	0	Train
312.99476954	2.506988644	0	Train
304.97313921	-8.359157369	1	Train
217.65824504	1.293076559	0	Train
345.56967127	-4.256829346	0	Train
-139.38765136999996	2.581452623	1	Train
-117.30948099000004	8.072169168	0	Train
263.26161893999995	-4.315180972	0	Train
-127.98096594000005	2.506470199	1	Train
41.69096040000001	-4.789117991	1	Train
467.25478398	2.823900634	1	Train
436.98678454	-1.344817277	0	Train
411.86528632	-2.130222306	0	Train
46.31909110999998	4.732022415	0	Train
322.10153917	-1.416832148	0	Train
222.76208301	2.903341336	0	Train
310.85165934	-6.130301437	1	Train
347.4027340399999	4.272384597	0	Train
456.3432202400001	-4.666523271	1	Train
491.67285073	-6.844364105	1	Train
317.58247896	6.834964826	0	Train
391.34330652	-3.014473844	1	Train
309.98647593	7.188419573	0	Train
160.94999533	-4.974167661	0	Train
312.64878677	-0.538808087	0	Train
549.5235609900001	-3.393180083	1	Train
265.10423272	2.67272648	0	Train
224.7092833	5.720692109	0	Train
311.07776249	-3.646934423	1	Train
38.11405335999999	7.440864194	0	Train
160.11823881	-9.6980955	1	Train
236.39269511	2.287869886	0	Train
452.99034519	-1.788398713	0	Train
509.87265354	-5.513525431	1	Train
380.38211838	-2.34689975	0	Train
437.7419983	0.446281083	1	Train
372.11697324	4.984947962	0	Train
439.72747823	-2.236473966	0	Train
-125.96587138999996	0.896649601	1	Train
213.65923954	-6.620104549	1	Train
458.56649171	4.836031841	0	Train
119.16395208	5.310572862	0	Train
263.55974803	0.602156657	0	Train
-324.70415694	3.070323846	1	Train
552.88151734	-6.179147898	1	Train
387.52463313	6.683833354	0	Train
-34.71245969999999	0.6911317	1	Train
-190.51605485	6.647110054	0	Train
-144.47957275	4.957147115	0	Train
-17.180308139999994	2.530938156	0	Train
546.370785	5.308348296	1	Train
270.6981248	-3.827123956	0	Train
-240.2877100000001	3.291340018	1	Train
-110.27648222	0.912782039	1	Train
621.45528589	4.781516573	1	Train
373.76189561	-8.265289965	1	Train
225.78796615	7.215926594	0	Train
-107.24376911000002	1.240521971	1	Train
336.45558594	2.831969765	0	Train
289.46900581	-3.998024096	0	Train
36.51301461999999	-4.070805498	1	Train
94.1028626	9.555918195	0	Train
74.80573097	-4.264436028	0	Train
414.20141704	-1.490726489	0	Train
199.73690811	7.491347184	0	Train
28.43145561	0.755913636	0	Train
217.86793102	9.16429161	0	Train
167.90575008000002	-6.203222382	1	Train
531.87308304	2.18415278	1	Train
573.77852277	2.981125401	1	Train
88.96856482999999	-9.115841508	1	Train
209.21985284	-0.671734342	0	Train
-375.32016966	2.423223698	1	Train
281.16318948	-7.195335264	1	Train
238.03178249	-1.349613661	0	Train
413.35194541	5.13755927	0	Train
593.99312221	-7.186938874	1	Train
-98.24845922	5.055828949	0	Train
591.88244182	2.244563388	1	Train
52.57073076999998	0.954824931	0	Train
137.63758852	-8.724062059	1	Train
99.43652478	-6.295731603	1	Train
22.69462724	-2.52090451	1	Train
-102.34426093	1.159735708	0	Train
-13.749973330000005	-2.405486008	1	Train
275.84520695000003	3.138125842	0	Train
560.63865393	-5.679244362	1	Train
-100.85232901999998	7.570730115	0	Train
-134.70403775000003	7.11090273	0	Train
338.54046986000003	-10.28310548	1	Train
215.47350773	1.61736872	0	Train
154.30526367	5.891076004	0	Train
434.90556351	1.667005895	0	Train
-9.871398139999997	-7.123995688	1	Train
116.43009221	-6.045101692	1	Train
-115.24863507	7.353835701	0	Train
59.70469509	-2.706809363	0	Train
18.25004612	-0.265526048	0	Train
323.74829526	-1.236606494	0	Train
238.05099595	-3.14719209	0	Train
82.85157738	-0.651426181	0	Train
610.49272064	4.251315904	1	Train
376.20666381	-9.022989048	1	Train
275.42654185	4.241280456	0	Train
69.60771493	-2.984552995	0	Train
277.47788653	-3.572536036	0	Train
545.81560072	3.288502548	1	Train
69.7507103	-2.16792426	1	Train
-251.67759942	0.6631286	1	Train
116.93743198	-3.32623167	1	Train
-23.789644720000005	4.434882613	0	Train
14.230317469999989	2.164817598	0	Train
-15.738881859999983	2.419068874	0	Train
564.68490215	3.160300264	1	Train
106.78205549	-2.249610872	0	Train
214.36859952000003	5.577700277	0	Train
559.0956048	-6.895586997	1	Train
137.46152354	-0.063389141	0	Train
256.3316384	-5.235011898	1	Train
461.85448341	-6.704305713	1	Train
241.98057629	0.28155661	0	Train
174.81925143	-8.695151533	1	Train
648.9647711800001	-2.82368477	1	Train
16.081154149999996	2.164534824	0	Train
282.95446274	-6.19653154	0	Train
577.77510417	-6.489836961	1	Train
77.68271879	-6.555984519	1	Train
575.4856267	-0.77936616	1	Train
241.23297839	6.853350674	0	Train
-165.02353920000002	-0.303030091	1	Train
12.618216000000004	-2.184774202	0	Train
420.20721971	6.095279247	0	Train
36.686084580000006	-4.56544812	1	Train
62.11885011999999	-5.604370088	1	Train
297.04145993	-2.143301641	0	Train
-42.15370729000001	7.359082498	0	Train
-111.82200753	-0.843420955	1	Train
46.48637864999999	5.842158457	0	Train
145.80867935	5.822074856	0	Train
-106.10656269000005	-8.265067162	1	Train
29.33533369000002	2.638176811	0	Train
408.85994629	5.249864187	0	Train
240.21679049	5.386050751	0	Train
-280.40714376	-0.43507859	1	Train
-160.26291837	6.177469199	0	Train
238.41313276	2.853742304	0	Train
104.91867271	-2.520872354	1	Train
